																						
	Gene	Non-unique Gene name	Annotation	No. isolates	No. sequences	Avg sequences per isolate	Genome Fragment	Order within Fragment	Accessory Fragment	Accessory Order with Fragment	QC	Min group size nuc	Max group size nuc	Avg group size nuc	A56AF	BASUSDA_45	CV1	CV8	Cv1	DSM26508	SAM215	UFO-VIO
	group_64	Transposase	Transposase	1	1	1	301	1543	1036	1		410	410	410		EADAOE_00017						
	group_6400	site-specific DNA-methyltransferase	site-specific DNA-methyltransferase	1	1	1	301	3399	1	183		713	713	713								HCOCDN_03434
	group_6401	phage virion morphogenesis protein	phage virion morphogenesis protein	1	1	1	301	3398	1	184		446	446	446								HCOCDN_03435
	group_6402	lysB	Protein lysB	1	1	1	301	1117	1	133		509	509	509								HCOCDN_03438
	group_6403	Peptidoglycan-binding protein	Peptidoglycan-binding protein	1	1	1	301	1116	1	134		788	788	788								HCOCDN_03439
	phage holin family protein		phage holin family protein	1	1	1	301	1115	1	135		308	308	308								HCOCDN_03440
	ibpA		Heat-shock protein Hsp20	1	1	1	301	4508	1198	1		425	425	425								HCOCDN_03559
	group_6406	ABC transporter substrate-binding protein	ABC transporter substrate-binding protein	1	1	1	301	4507	1198	2		1658	1658	1658								HCOCDN_03560
	group_6407	araJ	Major facilitator superfamily (MFS) profile domain-containing protein	1	1	1	301	4504	1198	3		1208	1208	1208								HCOCDN_03561
	group_6408	hypothetical protein	hypothetical protein	1	1	1	301	3582	2	500		296	296	296								HCOCDN_03629
	group_6409	hypothetical protein	hypothetical protein	1	1	1	301	3581	2	501		260	260	260								HCOCDN_03630
	group_641	Putative 8-amino-7-oxononanoate synthase	Putative 8-amino-7-oxononanoate synthase	1	1	1	301	258	167	1		956	956	956					MDFDNN_01136			
	group_6410	hypothetical protein	hypothetical protein	1	1	1	301	3580	2	502		491	491	491								HCOCDN_03631
	group_6411	hypothetical protein	hypothetical protein	1	1	1	301	3579	2	503		293	293	293								HCOCDN_03632
	group_6412	hypothetical protein	hypothetical protein	1	1	1	301	3578	2	504		926	926	926								HCOCDN_03633
	group_6413	hypothetical protein	hypothetical protein	1	1	1	301	3577	2	505		200	200	200								HCOCDN_03634
	group_6414	hypothetical protein	hypothetical protein	1	1	1	301	4706	2	492		383	383	383								HCOCDN_03635
	group_6415	Phage protein	Phage protein	1	1	1	301	4707	2	491		647	647	647								HCOCDN_03636
	group_6416	hypothetical protein	hypothetical protein	1	1	1	301	4708	2	490		158	158	158								HCOCDN_03637
	group_6417	Immunity protein 35 domain-containing protein	Immunity protein 35 domain-containing protein	1	1	1	301	4713	2	487		278	278	278								HCOCDN_03640
	group_6418	hypothetical protein	hypothetical protein	1	1	1	301	4712	2	486		353	353	353								HCOCDN_03641
	group_6419	hypothetical protein	hypothetical protein	1	1	1	301	4711	2	485		134	134	134								HCOCDN_03642
	group_6420	Bacteriophage lambda Replication protein O N-terminal domain-containing protein	Bacteriophage lambda Replication protein O N-terminal domain-containing protein	1	1	1	301	4710	2	484		311	311	311								HCOCDN_03643
	group_6421	Mobilization protein	Mobilization protein	1	1	1	301	3586	2	481		392	392	392								HCOCDN_03646
	group_6422	hypothetical protein	hypothetical protein	1	1	1	301	3585	2	479		185	185	185								HCOCDN_03648
	group_6423	luxR	LuxR family transcriptional regulator	1	1	1	301	3587	2	478		764	764	764								HCOCDN_03649
	group_6424	helix-turn-helix transcriptional regulator	helix-turn-helix transcriptional regulator	1	1	1	301	3588	2	476		410	410	410								HCOCDN_03651
	group_6425	hypothetical protein	hypothetical protein	1	1	1	301	3597	2	473		176	176	176								HCOCDN_03653
	group_6426	hypothetical protein	hypothetical protein	1	1	1	301	3596	2	472		254	254	254								HCOCDN_03654
	group_6427	helix-turn-helix domain-containing protein	helix-turn-helix domain-containing protein	1	1	1	301	3591	2	358		269	269	269								HCOCDN_03657
	group_6428	hypothetical protein	hypothetical protein	1	1	1	301	3590	2	462		980	980	980								HCOCDN_03658
	group_6429	hypothetical protein	hypothetical protein	1	1	1	301	2829	2	463		668	668	668								HCOCDN_03659
	group_6430	hypothetical protein	hypothetical protein	1	1	1	301	2830	2	464		641	641	641								HCOCDN_03660
	group_6431	hypothetical protein	hypothetical protein	1	1	1	301	2836	2	359		425	425	425								HCOCDN_03662
	group_6432	hypothetical protein	hypothetical protein	1	1	1	301	2827	2	458		209	209	209								HCOCDN_03665
	group_6433	Phage tail protein	Phage tail protein	1	1	1	301	2828	2	457		221	221	221								HCOCDN_03666
	group_6434	hypothetical protein	hypothetical protein	1	1	1	301	2826	2	452		419	419	419								HCOCDN_03671
	group_6435	Phage tail tape measure protein	Phage tail tape measure protein	1	1	1	301	2848	2	446		3653	3653	3653								HCOCDN_03675
	group_6436	hypothetical protein	hypothetical protein	1	1	1	301	2852	2	444		107	107	107								HCOCDN_03677
	group_6437	Peptidoglycan endopeptidase	Peptidoglycan endopeptidase	1	1	1	301	2825	2	363		383	383	383								HCOCDN_03679
	group_6438	Tip attachment protein J domain-containing protein	Tip attachment protein J domain-containing protein	1	1	1	301	2824	2	362		4511	4511	4511								HCOCDN_03680
	group_6439	Phage tail protein	Phage tail protein	1	1	1	301	2822	2	438		359	359	359								HCOCDN_03681
	group_6440	hypothetical protein	hypothetical protein	1	1	1	301	2857	2	437		2630	2630	2630								HCOCDN_03683
	group_6441	DUF5658 domain-containing protein	DUF5658 domain-containing protein	1	1	1	301	2821	2	436		287	287	287								HCOCDN_03684
	group_6442	Lysozyme	Lysozyme	1	1	1	301	2877	2	367		476	476	476								HCOCDN_03686
	group_6443	DUF2570 domain-containing protein	DUF2570 domain-containing protein	1	1	1	301	2878	2	366		419	419	419								HCOCDN_03687
	group_6444	hypothetical protein	hypothetical protein	1	1	1	301	2879	2	365		953	953	953								HCOCDN_03688
	group_6445	hypothetical protein	hypothetical protein	1	1	1	301	2880	2	364		518	518	518								HCOCDN_03689
	group_6446	Methyltransferase type 12 domain-containing protein	Methyltransferase type 12 domain-containing protein	1	1	1	301	1053	59	2		1298	1298	1298								HCOCDN_03784
	group_6447	hypothetical protein	hypothetical protein	1	1	1	301	2134	1	690		7091	7091	7091								HCOCDN_03839
	group_6448	Pilus assembly protein	Pilus assembly protein	1	1	1	301	2132	1	710		731	731	731								HCOCDN_03843
	group_6449	ecpC	putative outer membrane usher protein EcpC	1	1	1	301	2131	1	709		2279	2279	2279								HCOCDN_03844
	group_645	hypothetical protein	hypothetical protein	1	1	1	301	254	436	1		572	572	572					MDFDNN_01143			
	group_6450	hypothetical protein	hypothetical protein	1	1	1	301	2130	1	708		1118	1118	1118								HCOCDN_03845
	Peptidase C80 domain-containing protein		Peptidase C80 domain-containing protein	1	1	1	301	2152	1	675		5666	5666	5666								HCOCDN_03849
	group_6452	hypothetical protein	hypothetical protein	1	1	1	301	2151	1	674		347	347	347								HCOCDN_03850
	group_6453	transcriptional regulator	transcriptional regulator	1	1	1	301	1508	1	673		743	743	743								HCOCDN_03851
	group_6454	hypothetical protein	hypothetical protein	1	1	1	301	1500	73	5		755	755	755								HCOCDN_03872
	group_6455	hypothetical protein	hypothetical protein	1	1	1	301	190	1	639		545	545	545								HCOCDN_04044
	gH19		Peptidase M23 domain-containing protein	1	1	1	301	189	1	638		2138	2138	2138								HCOCDN_04045
	group_6457	ATP-binding protein	ATP-binding protein	1	1	1	301	6547	1	534		2177	2177	2177								HCOCDN_04047
	group_6458	DNA cytosine methyltransferase	DNA cytosine methyltransferase	1	1	1	301	6546	1	533		929	929	929								HCOCDN_04048
	group_6459	hypothetical protein	hypothetical protein	1	1	1	301	6545	1	532		701	701	701								HCOCDN_04049
	group_646	hypothetical protein	hypothetical protein	1	1	1	301	251	436	2		374	374	374					MDFDNN_01144			
	group_6460	hypothetical protein	hypothetical protein	1	1	1	303	1	6	115		431	431	431								HCOCDN_04050
	group_6461	hypothetical protein	hypothetical protein	1	1	1	303	2	6	116		290	290	290								HCOCDN_04051
	group_6462	hypothetical protein	hypothetical protein	1	1	1	303	3	6	117		245	245	245								HCOCDN_04052
	group_6463	hypothetical protein	hypothetical protein	1	1	1	303	4	6	118		254	254	254								HCOCDN_04053
	group_6464	3'-5' exonuclease	3'-5' exonuclease	1	1	1	303	5	6	119		584	584	584								HCOCDN_04054
	ninX		phage protein NinX family protein	1	1	1	303	6	6	120		359	359	359								HCOCDN_04055
	group_6466	hypothetical protein	hypothetical protein	1	1	1	303	7	6	121		344	344	344								HCOCDN_04056
	group_6467	hypothetical protein	hypothetical protein	1	1	1	303	8	6	122		200	200	200								HCOCDN_04057
	group_6468	hypothetical protein	hypothetical protein	1	1	1	343	5	1195	7		200	200	200								HCOCDN_04333
	group_6469	hypothetical protein	hypothetical protein	1	1	1	303	10	6	124		356	356	356								HCOCDN_04059
	group_6470	hypothetical protein	hypothetical protein	1	1	1	343	7	1195	9		356	356	356								HCOCDN_04335
	group_6471	hypothetical protein	hypothetical protein	1	1	1	303	11	6	125		218	218	218								HCOCDN_04060
	group_6472	hypothetical protein	hypothetical protein	1	1	1	343	8	1195	6		218	218	218								HCOCDN_04336
	group_6473	hypothetical protein	hypothetical protein	1	1	1	303	12	6	126		485	485	485								HCOCDN_04061
	group_6474	hypothetical protein	hypothetical protein	1	1	1	303	13	6	127		524	524	524								HCOCDN_04062
	group_6475	peptide chain release factor-like protein	peptide chain release factor-like protein	1	1	1	303	14	6	128		662	662	662								HCOCDN_04063
	peptide chain release factor-like protein		peptide chain release factor-like protein	1	1	1	343	4	1195	4		662	662	662								HCOCDN_04338
	group_6477	hypothetical protein	hypothetical protein	1	1	1	303	15	6	129		209	209	209								HCOCDN_04064
	group_6478	hypothetical protein	hypothetical protein	1	1	1	303	16	6	130		257	257	257								HCOCDN_04065
	group_6479	hypothetical protein	hypothetical protein	1	1	1	343	3	1195	3		257	257	257								HCOCDN_04339
	peroxidase family protein		peroxidase family protein	1	1	1	301	6238	1170	1		884	884	884						BLLDNB_00245		
	group_6480	hypothetical protein	hypothetical protein	1	1	1	303	17	6	131		200	200	200								HCOCDN_04066
	group_6481	hypothetical protein	hypothetical protein	1	1	1	343	2	1195	2		200	200	200								HCOCDN_04340
	group_6482	hypothetical protein	hypothetical protein	1	1	1	303	19	6	133		278	278	278								HCOCDN_04068
	group_6483	hypothetical protein	hypothetical protein	1	1	1	303	20	6	134		125	125	125								HCOCDN_04069
	group_6484	hypothetical protein	hypothetical protein	1	1	1	303	21	6	135		527	527	527								HCOCDN_04070
	group_6485	hypothetical protein	hypothetical protein	1	1	1	303	144	6	136		377	377	377								HCOCDN_04071
	group_6486	Holin	Holin	1	1	1	303	143	6	137		236	236	236								HCOCDN_04072
	group_6487	hypothetical protein	hypothetical protein	1	1	1	303	142	6	138		278	278	278								HCOCDN_04073
	group_6488	hypothetical protein	hypothetical protein	1	1	1	303	141	6	139		140	140	140								HCOCDN_04074
	group_6489	hypothetical protein	hypothetical protein	1	1	1	303	140	6	140		161	161	161								HCOCDN_04075
	group_6490	hypothetical protein	hypothetical protein	1	1	1	303	139	6	141		215	215	215								HCOCDN_04076
	group_6491	hypothetical protein	hypothetical protein	1	1	1	303	138	6	142		644	644	644								HCOCDN_04077
	PAAR motif-containing protein		PAAR motif-containing protein	1	1	1	303	137	6	143		254	254	254								HCOCDN_04078
	group_6493	PAAR domain-containing protein	PAAR domain-containing protein	1	1	1	303	136	6	144		533	533	533								HCOCDN_04079
	group_6494	hypothetical protein	hypothetical protein	1	1	1	303	135	6	114		197	197	197								HCOCDN_04080
	group_6495	hypothetical protein	hypothetical protein	1	1	1	303	134	6	113		248	248	248								HCOCDN_04081
	group_6496	Lipoprotein	Lipoprotein	1	1	1	303	133	6	112		554	554	554								HCOCDN_04082
	group_6497	hypothetical protein	hypothetical protein	1	1	1	303	132	6	111		626	626	626								HCOCDN_04083
	group_6498	Uncharacterized protein conserved in bacteria	Uncharacterized protein conserved in bacteria	1	1	1	303	131	6	110		347	347	347								HCOCDN_04084
	group_6499	DUF4105 domain-containing protein	DUF4105 domain-containing protein	1	1	1	303	130	6	109		725	725	725								HCOCDN_04085
	group_65	IS5 family transposase	IS5 family transposase	1	1	1	301	4584	19	10		932	932	932		EADAOE_01239						
	group_6500	hypothetical protein	hypothetical protein	1	1	1	303	129	6	108		716	716	716								HCOCDN_04086
	group_6501	hypothetical protein	hypothetical protein	1	1	1	303	128	6	107		299	299	299								HCOCDN_04087
	group_6502	hypothetical protein	hypothetical protein	1	1	1	303	127	6	106		323	323	323								HCOCDN_04088
	group_6503	hypothetical protein	hypothetical protein	1	1	1	303	126	6	105		596	596	596								HCOCDN_04089
	PBECR2 nuclease fold domain-containing protein		PBECR2 nuclease fold domain-containing protein	1	1	1	303	125	6	104		539	539	539								HCOCDN_04090
	group_6505	hypothetical protein	hypothetical protein	1	1	1	303	124	6	103		248	248	248								HCOCDN_04091
	group_6506	hypothetical protein	hypothetical protein	1	1	1	303	123	6	102		443	443	443								HCOCDN_04092
	group_6507	hypothetical protein	hypothetical protein	1	1	1	303	122	6	101		338	338	338								HCOCDN_04093
	group_6508	DEAD/DEAH box helicase	DEAD/DEAH box helicase	1	1	1	303	121	6	100		1523	1523	1523								HCOCDN_04094
	ParB/RepB/Spo0J family partition protein		ParB/RepB/Spo0J family partition protein	1	1	1	303	120	6	99		650	650	650								HCOCDN_04095
	group_6510	hypothetical protein	hypothetical protein	1	1	1	303	119	6	98		149	149	149								HCOCDN_04096
	group_6511	ParB/Srx family N-terminal domain-containing protein	ParB/Srx family N-terminal domain-containing protein	1	1	1	303	118	6	97		662	662	662								HCOCDN_04097
	DUF2829 domain-containing protein		DUF2829 domain-containing protein	1	1	1	303	117	6	96		266	266	266								HCOCDN_04098
	group_6513	ATP-binding cassette domain-containing protein	ATP-binding cassette domain-containing protein	1	1	1	303	116	6	95		728	728	728								HCOCDN_04099
	group_6514	hypothetical protein	hypothetical protein	1	1	1	303	115	6	94		959	959	959								HCOCDN_04100
	winged helix-turn-helix domain-containing protein		winged helix-turn-helix domain-containing protein	1	1	1	303	114	6	93		377	377	377								HCOCDN_04101
	group_6516	hypothetical protein	hypothetical protein	1	1	1	303	113	6	92		662	662	662								HCOCDN_04102
	group_6517	Terminase	Terminase	1	1	1	303	112	6	91		1304	1304	1304								HCOCDN_04103
	Portal protein		Portal protein	1	1	1	303	111	6	90		1625	1625	1625								HCOCDN_04104
	group_6519	DUF6651 domain-containing protein	DUF6651 domain-containing protein	1	1	1	303	110	6	89		884	884	884								HCOCDN_04105
	major capsid protein		major capsid protein	1	1	1	303	109	6	88		902	902	902								HCOCDN_04106
	group_6521	hypothetical protein	hypothetical protein	1	1	1	303	108	6	87		416	416	416								HCOCDN_04107
	group_6522	hypothetical protein	hypothetical protein	1	1	1	303	107	6	86		776	776	776								HCOCDN_04108
	group_6523	hypothetical protein	hypothetical protein	1	1	1	303	106	6	85		548	548	548								HCOCDN_04109
	group_6524	hypothetical protein	hypothetical protein	1	1	1	303	105	6	84		374	374	374								HCOCDN_04110
	group_6525	hypothetical protein	hypothetical protein	1	1	1	303	104	6	83		470	470	470								HCOCDN_04111
	minor capsid protein		minor capsid protein	1	1	1	303	103	6	82		401	401	401								HCOCDN_04112
	Major tail protein		Major tail protein	1	1	1	303	102	6	81		815	815	815								HCOCDN_04113
	group_6528	hypothetical protein	hypothetical protein	1	1	1	303	101	6	80		329	329	329								HCOCDN_04114
	group_6529	hypothetical protein	hypothetical protein	1	1	1	303	100	6	79		212	212	212								HCOCDN_04115
	tape measure protein		tape measure protein	1	1	1	303	99	6	78		4028	4028	4028								HCOCDN_04116
	group_6531	hypothetical protein	hypothetical protein	1	1	1	303	98	6	77		362	362	362								HCOCDN_04117
	group_6532	DUF1833 domain-containing protein	DUF1833 domain-containing protein	1	1	1	303	97	6	76		629	629	629								HCOCDN_04118
	NlpC/P60 family protein		NlpC/P60 family protein	1	1	1	303	96	6	75		332	332	332								HCOCDN_04119
	tipJ		host specificity factor TipJ family phage tail protein	1	1	1	303	95	6	74		4586	4586	4586								HCOCDN_04120
	group_6535	Secreted protein	Secreted protein	1	1	1	303	94	6	73		446	446	446								HCOCDN_04121
	group_6536	hypothetical protein	hypothetical protein	1	1	1	303	93	6	72		1538	1538	1538								HCOCDN_04122
	group_6537	tail fiber domain-containing protein	tail fiber domain-containing protein	1	1	1	303	92	6	71		1409	1409	1409								HCOCDN_04123
	group_6538	tail fiber domain-containing protein	tail fiber domain-containing protein	1	1	1	303	91	6	70		1466	1466	1466								HCOCDN_04124
	group_6539	DUF2282 domain-containing protein	DUF2282 domain-containing protein	1	1	1	303	90	6	69		260	260	260								HCOCDN_04125
	group_6540	hypothetical protein	hypothetical protein	1	1	1	303	89	6	68		944	944	944								HCOCDN_04126
	group_6541	7-cyano-7-deazaguanine synthase	7-cyano-7-deazaguanine synthase	1	1	1	303	88	6	67		671	671	671								HCOCDN_04127
	group_6542	hypothetical protein	hypothetical protein	1	1	1	303	87	6	66		755	755	755								HCOCDN_04128
	group_6543	hypothetical protein	hypothetical protein	1	1	1	303	86	6	65		1214	1214	1214								HCOCDN_04129
	group_6544	hypothetical protein	hypothetical protein	1	1	1	303	85	6	64		332	332	332								HCOCDN_04130
	D-Ala-D-Ala carboxypeptidase family metallohydrolase		D-Ala-D-Ala carboxypeptidase family metallohydrolase	1	1	1	303	84	6	63		464	464	464								HCOCDN_04131
	group_6546	hypothetical protein	hypothetical protein	1	1	1	303	83	6	62		260	260	260								HCOCDN_04132
	group_6547	hypothetical protein	hypothetical protein	1	1	1	303	82	6	61		326	326	326								HCOCDN_04133
	group_6548	hypothetical protein	hypothetical protein	1	1	1	303	81	6	60		647	647	647								HCOCDN_04134
	group_6549	phoH	PhoH family protein	1	1	1	303	80	6	59		776	776	776								HCOCDN_04135
	group_6550	hypothetical protein	hypothetical protein	1	1	1	303	79	6	58		677	677	677								HCOCDN_04136
	RNA chaperone Hfq		RNA chaperone Hfq	1	1	1	303	78	6	57		227	227	227								HCOCDN_04137
	DnaB-like helicase C-terminal domain-containing protein		DnaB-like helicase C-terminal domain-containing protein	1	1	1	303	77	6	56		1364	1364	1364								HCOCDN_04138
	toprim domain-containing protein		toprim domain-containing protein	1	1	1	303	76	6	55		1100	1100	1100								HCOCDN_04139
	group_6554	hypothetical protein	hypothetical protein	1	1	1	303	75	6	54		584	584	584								HCOCDN_04140
	group_6555	hypothetical protein	hypothetical protein	1	1	1	303	74	6	53		662	662	662								HCOCDN_04141
	group_6556	hypothetical protein	hypothetical protein	1	1	1	303	73	6	52		1406	1406	1406								HCOCDN_04142
	group_6557	hypothetical protein	hypothetical protein	1	1	1	303	72	6	51		650	650	650								HCOCDN_04143
	group_6558	hypothetical protein	hypothetical protein	1	1	1	303	69	6	48		569	569	569								HCOCDN_04145
	group_6559	hypothetical protein	hypothetical protein	1	1	1	303	68	6	47		395	395	395								HCOCDN_04146
	group_6560	parA	ParA family protein	1	1	1	303	67	6	46		716	716	716								HCOCDN_04147
	group_6561	site-specific integrase	site-specific integrase	1	1	1	303	66	6	45		641	641	641								HCOCDN_04148
	group_6562	helix-turn-helix transcriptional regulator	helix-turn-helix transcriptional regulator	1	1	1	303	65	6	44		470	470	470								HCOCDN_04149
	cobaltochelatase CobT-related protein		cobaltochelatase CobT-related protein	1	1	1	303	64	6	43		2042	2042	2042								HCOCDN_04150
	moxR		MoxR family ATPase	1	1	1	303	63	6	42		1145	1145	1145								HCOCDN_04151
	sigma factor		sigma factor	1	1	1	303	62	6	41		641	641	641								HCOCDN_04152
	DNA polymerase III subunit alpha		DNA polymerase III subunit alpha	1	1	1	303	61	6	40		3359	3359	3359								HCOCDN_04153
	group_6567	hypothetical protein	hypothetical protein	1	1	1	303	60	6	39		656	656	656								HCOCDN_04154
	group_6568	hypothetical protein	hypothetical protein	1	1	1	303	59	6	38		899	899	899								HCOCDN_04155
	group_6569	hypothetical protein	hypothetical protein	1	1	1	303	58	6	37		899	899	899								HCOCDN_04156
	ATPase domain-containing protein		ATPase domain-containing protein	1	1	1	303	57	6	36		1070	1070	1070								HCOCDN_04157
	group_6571	hypothetical protein	hypothetical protein	1	1	1	303	56	6	35		377	377	377								HCOCDN_04158
	group_6572	hypothetical protein	hypothetical protein	1	1	1	303	55	6	34		533	533	533								HCOCDN_04159
	cell wall hydrolase		cell wall hydrolase	1	1	1	303	54	6	33		422	422	422								HCOCDN_04160
	group_6574	hypothetical protein	hypothetical protein	1	1	1	303	53	6	32		836	836	836								HCOCDN_04161
	metallophosphoesterase		metallophosphoesterase	1	1	1	303	52	6	31		1088	1088	1088								HCOCDN_04162
	Ribonuclease H		Ribonuclease H	1	1	1	303	51	6	30		455	455	455								HCOCDN_04163
	group_6577	AAA family ATPase	AAA family ATPase	1	1	1	303	50	6	29		1955	1955	1955								HCOCDN_04164
	group_6578	hypothetical protein	hypothetical protein	1	1	1	303	49	6	28		575	575	575								HCOCDN_04165
	group_6579	hypothetical protein	hypothetical protein	1	1	1	303	48	6	27		578	578	578								HCOCDN_04166
	group_658	hypothetical protein	hypothetical protein	1	1	1	301	6316	704	1		332	332	332					MDFDNN_00204			
	ribonucleoside-diphosphate reductase subunit alpha		ribonucleoside-diphosphate reductase subunit alpha	1	1	1	303	47	6	26		2276	2276	2276								HCOCDN_04167
	group_6581	hypothetical protein	hypothetical protein	1	1	1	303	46	6	25		209	209	209								HCOCDN_04168
	group_6582	ribonucleotide-diphosphate reductase subunit beta	ribonucleotide-diphosphate reductase subunit beta	1	1	1	303	45	6	24		995	995	995								HCOCDN_04169
	thioredoxin family protein		thioredoxin family protein	1	1	1	303	44	6	23		284	284	284								HCOCDN_04170
	Thymidylate synthase		Thymidylate synthase	1	1	1	303	43	6	22		998	998	998								HCOCDN_04171
	dihydrofolate reductase		dihydrofolate reductase	1	1	1	303	42	6	21		584	584	584								HCOCDN_04172
	group_6586	hypothetical protein	hypothetical protein	1	1	1	303	41	6	20		593	593	593								HCOCDN_04173
	group_6587	AAA family ATPase	AAA family ATPase	1	1	1	303	40	6	19		614	614	614								HCOCDN_04174
	group_6588	hypothetical protein	hypothetical protein	1	1	1	303	39	6	18		428	428	428								HCOCDN_04175
	Nmad5 family putative nucleotide modification protein		Nmad5 family putative nucleotide modification protein	1	1	1	303	38	6	17		728	728	728								HCOCDN_04176
	group_6590	hypothetical protein	hypothetical protein	1	1	1	303	37	6	16		164	164	164								HCOCDN_04177
	group_6591	hypothetical protein	hypothetical protein	1	1	1	303	36	6	15		443	443	443								HCOCDN_04178
	group_6592	3'-5' exonuclease	3'-5' exonuclease	1	1	1	303	35	6	14		557	557	557								HCOCDN_04179
	group_6593	hypothetical protein	hypothetical protein	1	1	1	303	34	6	13		230	230	230								HCOCDN_04180
	group_6594	hypothetical protein	hypothetical protein	1	1	1	303	33	6	12		296	296	296								HCOCDN_04181
	group_6595	hypothetical protein	hypothetical protein	1	1	1	303	32	6	11		620	620	620								HCOCDN_04182
	zinc-finger-containing protein		zinc-finger-containing protein	1	1	1	303	31	6	10		509	509	509								HCOCDN_04183
	DUF6573 domain-containing protein		DUF6573 domain-containing protein	1	1	1	303	30	6	9		392	392	392								HCOCDN_04184
	group_6598	hypothetical protein	hypothetical protein	1	1	1	303	29	6	8		137	137	137								HCOCDN_04185
	group_6599	hypothetical protein	hypothetical protein	1	1	1	303	28	6	7		371	371	371								HCOCDN_04186
	group_66	transposase	transposase	1	1	1	301	2888	2	373		239	239	239								HCOCDN_03695
	group_6600	hypothetical protein	hypothetical protein	1	1	1	303	27	6	6		845	845	845								HCOCDN_04187
	group_6601	type II toxin-antitoxin system RelE/ParE family toxin	type II toxin-antitoxin system RelE/ParE family toxin	1	1	1	303	26	6	5		254	254	254								HCOCDN_04188
	group_6602	helix-turn-helix domain-containing protein	helix-turn-helix domain-containing protein	1	1	1	303	25	6	4		323	323	323								HCOCDN_04189
	group_6603	hypothetical protein	hypothetical protein	1	1	1	303	24	6	3		329	329	329								HCOCDN_04190
	group_6604	hypothetical protein	hypothetical protein	1	1	1	303	23	6	2		356	356	356								HCOCDN_04191
	group_6605	hypothetical protein	hypothetical protein	1	1	1	303	22	6	1		458	458	458								HCOCDN_04192
	group_6606	Transposase	Transposase	1	1	1	344	6	1196	1		146	146	146								HCOCDN_04196
	group_6607	Transposase	Transposase	1	1	1	301	901	1	459		146	146	146								HCOCDN_04283
	group_6608	hypothetical protein	hypothetical protein	1	1	1	301	192	1	363		191	191	191								HCOCDN_04203
	group_6609	DNA-binding protein	DNA-binding protein	1	1	1	301	195	1	490		989	989	989								HCOCDN_04206
	Ribose-phosphate diphosphokinase		Ribose-phosphate diphosphokinase	1	1	1	301	200	1	527		809	809	809								HCOCDN_04210
	group_6611	araC	AraC family transcriptional regulator	1	1	1	301	201	1	524		941	941	941								HCOCDN_04212
	zinc-binding dehydrogenase		zinc-binding dehydrogenase	1	1	1	301	3674	1	523		386	386	386								HCOCDN_04213
	Uncharacterized protein PA2218		Uncharacterized protein PA2218	1	1	1	301	3675	1	522		1112	1112	1112								HCOCDN_04214
	group_6614	Major facilitator superfamily (MFS) profile domain-containing protein	Major facilitator superfamily (MFS) profile domain-containing protein	1	1	1	301	3676	1	521		1214	1214	1214								HCOCDN_04215
	Colicin E3-like ribonuclease domain-containing protein		Colicin E3-like ribonuclease domain-containing protein	1	1	1	301	3737	1	516		2123	2123	2123								HCOCDN_04220
	group_6616	hypothetical protein	hypothetical protein	1	1	1	301	3736	1	515		473	473	473								HCOCDN_04221
	group_6617	hypothetical protein	hypothetical protein	1	1	1	301	3735	1	514		194	194	194								HCOCDN_04222
	group_6618	hypothetical protein	hypothetical protein	1	1	1	301	3734	1	513		251	251	251								HCOCDN_04223
	group_6619	hypothetical protein	hypothetical protein	1	1	1	301	3726	1	377		1127	1127	1127								HCOCDN_04231
	group_6620	hypothetical protein	hypothetical protein	1	1	1	301	3695	1	371		257	257	257								HCOCDN_04233
	group_6621	N-acetyltransferase domain-containing protein	N-acetyltransferase domain-containing protein	1	1	1	301	3696	1	366		1934	1934	1934								HCOCDN_04234
	group_6622	hypothetical protein	hypothetical protein	1	1	1	301	3699	1	369		902	902	902								HCOCDN_04237
	reverse transcriptase/maturase family protein		reverse transcriptase/maturase family protein	1	1	1	301	3700	1	370		1124	1124	1124								HCOCDN_04238
	group_6624	hypothetical protein	hypothetical protein	1	1	1	301	3701	1	365		440	440	440								HCOCDN_04240
	group_6625	Gp5/Type VI secretion system Vgr protein OB-fold domain-containing protein	Gp5/Type VI secretion system Vgr protein OB-fold domain-containing protein	1	1	1	301	3709	1	394		1595	1595	1595								HCOCDN_04251
	group_6626	lysM	LysM domain-containing protein	1	1	1	301	3708	1	393		713	713	713								HCOCDN_04252
	group_6627	Phage tail protein	Phage tail protein	1	1	1	301	3705	1	400		446	446	446								HCOCDN_04255
	group_6628	Phage tail protein	Phage tail protein	1	1	1	301	841	1	402		446	446	446								HCOCDN_04257
	group_6629	hypothetical protein	hypothetical protein	1	1	1	301	846	1	486		176	176	176								HCOCDN_04261
	group_6630	hypothetical protein	hypothetical protein	1	1	1	301	847	1	485		1058	1058	1058								HCOCDN_04262
	group_6631	hypothetical protein	hypothetical protein	1	1	1	301	925	1	477		3095	3095	3095								HCOCDN_04265
	group_6632	orgC	Type III secretion system effector protein OrgC	1	1	1	301	912	1	470		488	488	488								HCOCDN_04272
	group_6633	sctI	type III secretion system inner rod subunit SctI	1	1	1	301	908	1	466		305	305	305								HCOCDN_04276
	group_6634	type III secretion system needle complex protein	type III secretion system needle complex protein	1	1	1	301	907	1	465		251	251	251								HCOCDN_04277
	group_6635	PrgH/EprH family type III secretion inner membrane ring protein	PrgH/EprH family type III secretion inner membrane ring protein	1	1	1	301	906	1	464		1181	1181	1181								HCOCDN_04278
	group_6636	hypothetical protein	hypothetical protein	1	1	1	301	905	1	463		407	407	407								HCOCDN_04279
